SCAI Rules Documentation ,,,,,,,
#,Source File ,Section,Name,Type,Description,Confilect ,Status
1,component_rules.md,1. Universal Components - Core,H1,Text heading,Article title; exactly 1 per article; FIRST heading only; 3 types: Statement/Listicle/Question,PASSED,FALSE
2,component_rules.md,1. Universal Components - Core,Featured Image,Image,Main article image; generated from H1 content,PASSED,FALSE
3,component_rules.md,1. Universal Components - Core,Overview Paragraph,Text paragraph,Introduces article topic; elaborates on H1,PASSED,FALSE
4,component_rules.md,1. Universal Components - Core,H2,Text heading,Section headings; follows H1 type; used for ALL content sections,PASSED,FALSE
5,component_rules.md,1. Universal Components - Core,Standard Paragraph,Text paragraph,Section content; elaborates on its H2,PASSED,FALSE
6,component_rules.md,1. Universal Components - Optional,H2 Image,Image,Section image; generated from H2 content,PASSED,FALSE
7,component_rules.md,1. Universal Components - Optional,Closing H2,Text heading,Final section heading,PASSED,FALSE
8,component_rules.md,1. Universal Components - Optional,Closing Paragraph,Text paragraph,Final section content; paired with Closing H2,PASSED,FALSE
9,component_rules.md,1. Universal Components - Optional,FAQ H2,Text heading,Parent heading for FAQ section,PASSED,FALSE
10,component_rules.md,1. Universal Components - Optional,FAQ H3,Text heading,Question headings; exactly 5 per FAQ section,PASSED,FALSE
11,component_rules.md,1. Universal Components - Optional,FAQ Answer Paragraph,Text paragraph,Answer content; paired with each FAQ H3,PASSED,FALSE
12,component_rules.md,1. Universal Components - Optional,Meta Title,SEO text,Search engine title,PASSED,FALSE
13,component_rules.md,1. Universal Components - Optional,Meta Description,SEO text,Search engine description,PASSED,FALSE
14,component_rules.md,1. Universal Components - Optional,Table of Contents,Navigation list,Auto-generated from H2 headings,PASSED,FALSE
15,component_rules.md,1. Universal Components - Optional,Featured Image Alt Text,Accessibility text,Describes featured image,PASSED,FALSE
16,component_rules.md,1. Universal Components - Optional,H2 Image Alt Text,Accessibility text,Describes H2 image,PASSED,FALSE
17,component_rules.md,2. Unique Components - Affiliate,Product Card,Composite,Contains: Product Image/Product Name/Star Rating/Price/CTA Button - External API data display,PASSED,FALSE
18,component_rules.md,2. Unique Components - Affiliate,Product Image,Image element,Visual of the product within Product Card,PASSED,FALSE
19,component_rules.md,2. Unique Components - Affiliate,Product Name,Text element,Name/title of the product within Product Card,PASSED,FALSE
20,component_rules.md,2. Unique Components - Affiliate,Star Rating,Rating element,Rating display (e.g. stars) within Product Card,PASSED,FALSE
21,component_rules.md,2. Unique Components - Affiliate,Price,Text element,Current product price within Product Card,PASSED,FALSE
22,component_rules.md,2. Unique Components - Affiliate,CTA Button,Interactive element,Call-to-action button within Product Card,PASSED,FALSE
23,component_rules.md,2. Unique Components - Commercial,Feature H2,Text heading,Introduces feature section,PASSED,FALSE
24,component_rules.md,2. Unique Components - Commercial,Feature List,Bulleted list,Lists product/service features; 5-7 bullets,PASSED,FALSE
25,component_rules.md,2. Unique Components - Commercial,CTA Box,Highlighted box,Action prompt for users,PASSED,FALSE
26,component_rules.md,2. Unique Components - Comparison,Topic H2,Text heading,Introduces each comparison topic; repeats for each topic (2+),PASSED,FALSE
27,component_rules.md,2. Unique Components - Comparison,Topic Overview,Text paragraph,Describes each topic; 2 sub-paragraphs,PASSED,FALSE
28,component_rules.md,2. Unique Components - Comparison,Comparison Table,Table,Rows: features; Columns: topics - Side-by-side comparison,PASSED,FALSE
29,component_rules.md,2. Unique Components - Comparison,Quick Verdict Box,Highlighted box,Conditional recommendations summary,PASSED,FALSE
30,component_rules.md,2. Unique Components - How-To,Materials/Requirements H2,Text heading,Introduces materials section,PASSED,FALSE
31,component_rules.md,2. Unique Components - How-To,Materials/Requirements Box,Box/card,Lists required materials; 5-15 bullets,PASSED,FALSE
32,component_rules.md,2. Unique Components - How-To,Pro Tips H2,Text heading,Introduces tips section,PASSED,FALSE
33,component_rules.md,2. Unique Components - How-To,Pro Tips List,Bulleted list,Expert recommendations; 5-7 bullets,PASSED,FALSE
